authors,title,journal,year,month,volume_issue,pages,doi,url,featured,ignore,themes,lab_authors,pdf_url,code_url,brief_url,ppt_url,press_url,image_filename,summary,abstract,system,response
"Bataille, Christopher; Coninck, Heleen D.; Kleijne, Kiane D.; Nilsson, Lars J.; Bashmakov, Igor; Davis, Steven J.; Fennell, Paul S.",Defining ‚Äòabated‚Äô fossil fuel and industrial process emissions,Energy and Climate Change,2025,12,6,100203,10.1016/j.egycc.2025.100203,https://www.sciencedirect.com/science/article/pii/S2666278725000303,FALSE,,"energy,emissions",steve-davis,,,,,,,"Carbon capture technology will likely need to reduce emissions from cement, chemicals, and steel production to meet net-zero climate goals.","There is scientific consensus that limiting warming in line with the Paris Agreement goals requires reaching net zero CO‚ÇÇ emissions by mid-century and net negative emissions thereafter. Because of the entrenchment of current fossil fuel energy and feedstock demand estimated in almost all global modelled scenarios, 'abated' fossil fuel and industrial process and product use (IPPU) CO‚ÇÇ emissions, using carbon capture and storage (CCS) technologies to perform carbon management, are likely to be part of any transition. In addition to fossil fuel combustion, this will be primarily in cement & lime kilns, chemical production, and possibly waste incineration and iron and steel making, in processes producing maximally concentrated CO‚ÇÇ waste streams. Abated fossil fuel and IPPU CO‚ÇÇ emissions in the context of recent commitments, however, requires consideration of capture rates for fuel processing and end-use ‚Ä¶",energy,mitigation
"Benz, Susanne A.; Davis, Steven J.; Burney, Jennifer A.",Drivers and projections of global surface temperature anomalies at the local scale,Environmental Research Letters,2021,6,16,64093,10.1088/1748-9326/ac0661,https://iopscience.iop.org/article/10.1088/1748-9326/ac0661,FALSE,,"impacts,heat",steve-davis,,,,,,,"Urban areas are 3.2 ¬∞C warmer than surrounding rural regions, with urbanization projected to intensify local heating through 2100.","More than half of the world‚Äôs population now lives in urban areas, and trends in rural-to-urban migration are expected to continue through the end of the century. Although cities create efficiencies that drive innovation and economic growth, they also alter the local surface energy balance, resulting in urban temperatures that can differ dramatically from surrounding areas. Here we introduce a global 1 km resolution data set of seasonal and diurnal anomalies in urban surface temperatures relative to their rural surroundings. We then use satellite-observable parameters in a simple model informed by the surface energy balance to understand the dominant drivers of present urban heating, the heat-related impacts of projected future urbanization, and the potential for policies to mitigate those damages. At present, urban populations live in areas with daytime surface summer temperatures that are 3.21 ‚àò C (‚àí3.97, 9.24, 5th ‚Ä¶",,"impacts,impacts:heat"
"Bergero, Candelaria; Brutschin, Elina; Gidden, Matthew; Nicholls, Zebedee; Grubert, Emily; Davis, Steven",The climate implications of failing to manage carbon,CDRXIV,2025,6,,,10.70212/cdrxiv.2025395.v1,https://doi.org/10.70212/cdrxiv.2025395.v1,FALSE,IGNORE,carbon management,steve-davis,,,,,,,Failing to deploy carbon capture and removal makes reaching 1.5 °C impossible but keeps 2 °C achievable if emissions still decline sharply.,"In scenarios that limit the increase in global mean temperature (GMT) this century to 1.5 or 2 C, large quantities of carbon are managed by both carbon capture and storage (CCS) at point sources and atmospheric carbon dioxide removal (CDR). Such carbon management may be used to offset ongoing (“residual”) emissions from hard-to-abate sectors and to decrease the concentration of carbon dioxide in the atmosphere if various feasibility and sustainability challenges are overcome. Here, in over 16 million simulations of the simple climate model MAGICC, we systematically analyze the climate implications of failing to manage carbon to the degree called for in 407 different climate mitigation scenarios. We find that entirely failing to manage carbon relates to~ 0.5 C higher GMT in 2100, making it impossible to meet the 1.5 C target, but leaving 2 C in reach this century–assuming the projected decreases in emissions still occur. Our results also show that peak temperatures are especially sensitive to land-based CDR (afforestation and reforestation) that often ramps up quickly in the scenarios, whereas end-of-century temperatures depend more on levels of engineered CDR (bioenergy with carbon capture and storage, direct air capture with storage). What is clear, though, is that the quantity of carbon in avoided emissions is vastly larger than carbon managed in every climate mitigation scenario. Limiting the increase in global mean temperature to 1.5 or 2 C (the Paris Agreement goal) requires decreases in net carbon dioxide (CO₂) emissions of roughly 83% and 78% between 2020 and the net-zero CO₂ year, respectively (reaching net-zero …",,mitigation:carbon-management
"Bergero, Candelaria; Gosnell, Greer; Gielen, Dolf; Kang, Seungwoo; Bazilian, Morgan; Davis, Steven J.",Pathways to net-zero emissions from aviation,Nature Sustainability,2023,1,6(4),404-414,10.1038/s41893-022-01046-9,https://doi.org/10.1038/s41893-022-01046-9,TRUE,,"energy, emissions",steve-davis,,,,,,runway.jpg,Large-scale carbon management for SAFs and/or CDR will be required for aviation to meet climate goals.,"International climate goals imply reaching net-zero global carbon dioxide (CO‚ÇÇ ) emissions by roughly mid-century (and net-zero greenhouse gas emissions by the end of the century). Among the most difficult emissions to avoid will be those from aviation given the industry‚Äôs need for energy-dense liquid fuels that lack commercially competitive substitutes and the difficult-to-abate non-CO‚ÇÇ radiative forcing. Here we systematically assess pathways to net-zero emissions aviation. We find that ambitious reductions in demand for air transport and improvements in the energy efficiency of aircraft might avoid up to 61% (2.8 GtCO 2 equivalent (GtCO 2 eq)) and 27% (1.2 GtCO 2 eq), respectively, of projected business-as-usual aviation emissions in 2050. However, further reductions will depend on replacing fossil jet fuel with large quantities of net-zero emissions biofuels or synthetic fuels (that is, 2.5‚Äì19.8 EJ of sustainable ‚Ä¶",energy,mitigation
"Bistline, John; Browning, Morgan; DeAngelo, Julianne; Huppmann, Daniel; Jones, Ryan; McFarland, James; Molar-Cruz, Anahi; Rose, Steven; Davis, Steven J.",Uses and limits of national decarbonization scenarios to inform net-zero transitions,Joule,2024,10,8(10),2721-2726,10.1016/j.joule.2024.09.005,https://www.cell.com/joule/abstract/S2542-4351(24)00423-9?uuid=uuid%3A19fcda59-26f6-4f27-9eed-c348ec0778a6,FALSE,,"energy,emissions",steve-davis,,,,,,,National decarbonization models agree on key strategies but vary widely in how much change each requires and miss important regional differences.,"Decarbonization scenario ensembles are increasingly used for policy design, company strategy, and stakeholder engagement. However, the limitations of these scenarios may not be adequately understood. We summarize the uses and challenges with applying decarbonization scenarios to inform policy and planning decisions by using a novel database of U.S. net-zero CO‚ÇÇ emissions scenarios. Models agree that power sector emissions reductions, wind and solar deployment, end-use electrification, energy efficiency, and carbon removal help to reach economy-wide net-zero emissions; however, there is considerable variation in these changes, which may not be reflected in current third-party guidance or international pledges. We show how there is more regional variation in decarbonization pathways than national modeling indicates. The analysis also compares U.S. national scenarios with corresponding U.S ‚Ä¶",energy,mitigation
"Bo, Xin; Jia, Min; Xue, Xiaoda; Tang, Ling; Mi, Zhifu; Wang, Shouyang; Cui, Weigeng; Chang, Xiangyu; Ruan, Jianhui; Dong, Guangxia; Zhou, Beihai; Davis, Steven J.",Effect of strengthened standards on Chinese ironmaking and steelmaking emissions,Nature Sustainability,2021,6,4(9),811-820,10.1038/s41893-021-00736-0,https://doi.org/10.1038/s41893-021-00736-0,FALSE,,"materials,emissions",steve-davis,,,,,,,China's 2015 emission standards cut particulate matter and sulfur dioxide from steelmakers by roughly half through 2018.,"China has produced roughly half of the world‚Äôs steel in recent years, but the country‚Äôs iron and steel industry is a major source of air pollutants, especially particulate matter, SO‚ÇÇ and NO‚Çì emissions. To reduce such emissions, China imposed new emission standards in 2015 and promoted ultralow emission standards in 2019. Here we use measurements from China‚Äôs continuous emissions monitoring systems (covering 69‚Äì91% of national iron and steel production) to develop hourly, facility-level emissions estimates for China‚Äôs iron and steel industry. In turn, we use this data to evaluate the emission reductions related to China‚Äôs increasingly stringent policies. We find steady declines in emission concentrations at iron- and steelmaking plants since the 2015 standards were implemented. From 2014 to 2018, particulate matter and SO‚ÇÇ emissions fell by 47% and 42%, respectively, and NO‚Çì increased by 3%, even as ‚Ä¶",materials,mitigation
"Bonnemaizon, Xavier; Ciais, Philippe; Zhou, Chuanlong; Ben Arous, Simon; Megel, Nicolas; Bergha√ºser, Gunnar; J. Davis, Steven",Drivers of CO‚ÇÇ emissions from road transport in U.S. urban areas,Environmental Research Letters,2025,5,7,125028,10.5194/egusphere-egu25-1263,https://doi.org/10.5194/egusphere-egu25-1263,FALSE,,"energy,emissions",steve-davis,,,,,,,"Travel demand is the main driver of urban road CO₂ emissions, while congestion contributes only 1–13 percent.","Road transportation in U.S. urban areas accounts for roughly two-thirds of on-road CO₂ emissions. Yet the drivers of those transportation emissions and differences among cities are not well-understood owing to limited availability of detailed data until recently. Here, we use high-resolution Floating Car Data based on GPS records of position and speed onboard individual vehicles to analyze street-level transportation emissions in 454 U.S. urban areas (hereinafter referred to as cities) in 2022. Per capita emissions were decomposed into three key drivers: the traffic demand per capita, the vehicle fleet and the congestion effect. Our study confirms the primary importance of travel demand and the well-known trend of its decrease with higher density but finds no significant increase in emissions related to traffic congestion, which account for only 1%–13% of total emissions in urban areas. Among the secondary drivers …",energy,mitigation
"Bonnemaizon, Xavier; Ciais, Philippe; Zhou, Chuanlong; Ben-Arous, Simon; Davis, Steven; Megel, Nicolas",Scaling traffic variables from sensors sample to the entire city at high spatiotemporal resolution with machine learning: applications to the Paris megacity,Environmental Research: Infrastructure and Sustainability,2024,4,4(3),35010,10.31223/x5hx3h,https://doi.org/10.31223/x5hx3h,FALSE,,energy,steve-davis,,,,,,,"Machine learning scaled traffic sensor data to estimate hourly traffic flow across all major Paris roads, improving emission estimates.","Road transportation accounts for up to 35% of carbon dioxide and 49% of nitrogen oxides emissions in the Paris region. However, estimates of city traffic patterns are often incomplete and of coarse spatio-temporal resolution, even where extensive networks of sensors exist. This study uses a machine learning approach to analyze data from 2086 magnetic road sensors across Paris, generating a detailed dataset of hourly traffic flow and road occupancy covering 6846 road segments from 2018 to 2022. Our model captures flow and occupancy with a symmetric mean absolute percentage error of 37% and 54% respectively, providing high-resolution insights into traffic patterns. These insights allow for the creation of a comprehensive map of hourly transportation patterns in Paris, offering a robust framework for assessing traffic variables for each significant road link in the city. The model’s ability to incorporate an …",energy,
"Bonnemaizon, Xavier; Ciais, Philippe; Zhou, Chuanlong; Shi, Qinren; Mittakola, Rohith T.; Goldmann, Cl√©ment; Ben Arous, Simon; Megel, Nicolas; Davis, Steven J.",Harmonized Annual Averaged Traffic Data at Street Segment Level for European Cities,Scientific Data,2025,8,12(1),1365,10.1038/s41597-025-05698-y,https://doi.org/10.1038/s41597-025-05698-y,FALSE,,energy,steve-davis,,,,,,,Researchers compiled and standardized traffic data from 36 European cities into a single dataset to enable cross-city comparisons and improve emission estimates.,"Traffic flow data in Europe are collected locally by city authorities using different systems and standards, making it difficult to compare cities or evaluate large-scale maps, such as those used for emission inventories. To address this gap, we compiled and harmonized publicly available traffic data for 36 European cities, linking geolocalized information to road segments, spanning years from 2015 to 2024 depending on data availability. Annual Average Daily (or Weekday) Traffic is provided, and supplementary variables (e.g., truck flow percentages and speed metrics) are included where available. The data are georeferenced, with geometries corresponding to each measurement location. The dataset was enriched with additional attributes through map matching of traffic measurement locations to OpenStreetMap. Code and methodology for transforming raw data into a uniform structure are documented in Python …",energy,
"Brown, Patrick T.; Hanley, Holt; Mahesh, Ankur; Reed, Colorado; Strenfel, Scott J.; Davis, Steven J.; Kochanski, Adam K.; Clements, Craig B.",Climate warming increases extreme daily wildfire growth risk in California,Nature,2023,8,621(7980),760-766,10.1038/s41586-023-06444-3,https://doi.org/10.1038/s41586-023-06444-3,FALSE,,fire,steve-davis,,,,,,,Warming-driven fuel drying increases the risk of extreme daily wildfire growth in California by over twofold since 2003.,"California has experienced enhanced extreme wildfire behaviour in recent years , ‚Äì , leading to substantial loss of life and property , . Some portion of the change in wildfire behaviour is attributable to anthropogenic climate warming, but formally quantifying this contribution is difficult because of numerous confounding factors , and because wildfires are below the grid scale of global climate models. Here we use machine learning to quantify empirical relationships between temperature (as well as the influence of temperature on aridity) and the risk of extreme daily wildfire growth (>10,000 acres) in California and find that the influence of temperature on the risk is primarily mediated through its influence on fuel moisture. We use the uncovered relationships to estimate the changes in extreme daily wildfire growth risk under anthropogenic warming by subjecting historical fires from 2003 to 2020 to differing background ‚Ä¶",,impacts
"Burney, Jennifer A.; Davis, Steven J.; Lobell, David B.",Greenhouse gas mitigation by agricultural intensification,Proceedings of the national Academy of Sciences,2010,6,107(26),12052-12057,10.1073/pnas.0914216107,https://doi.org/10.1073/pnas.0914216107,FALSE,,"food,land,emissions",steve-davis,,,,,,,Higher crop yields since 1961 have prevented 161 gigatons of carbon emissions by reducing land conversion to agriculture.,"As efforts to mitigate climate change increase, there is a need to identify cost-effective ways to avoid emissions of greenhouse gases (GHGs). Agriculture is rightly recognized as a source of considerable emissions, with concomitant opportunities for mitigation. Although future agricultural productivity is critical, as it will shape emissions from conversion of native landscapes to food and biofuel crops, investment in agricultural research is rarely mentioned as a mitigation strategy. Here we estimate the net effect on GHG emissions of historical agricultural intensification between 1961 and 2005. We find that while emissions from factors such as fertilizer production and application have increased, the net effect of higher yields has avoided emissions of up to 161 gigatons of carbon (GtC) (590 GtCO 2 e) since 1961. We estimate that each dollar invested in agricultural yields has resulted in 68 fewer kgC (249 kgCO 2 e ‚Ä¶",food,mitigation
"Caldeira, Ken; Davis, Steven J.",Accounting for carbon dioxide emissions: A matter of time,Proceedings of the National Academy of Sciences,2011,5,108(21),8533-8534,10.1073/pnas.1106517108,https://doi.org/10.1073/pnas.1106517108,FALSE,,trade,steve-davis,,,,,,,Accounting for when emissions occur across global supply chains reveals countries' true carbon responsibility over time.,"Carbon dioxide emissions in one country can support consumption of goods and services in another country; countries and their CO‚ÇÇ emissions are linked together by international trade. The study of CO‚ÇÇ emissions embodied in international trade was largely opened up by Peters and Hertwich (1). In PNAS, Peters et al.(2) introduce a dimension into this field of study, and that dimension is time. It is not often that one team of researchers has done so much to introduce a field of inquiry and then expand it so rapidly, giving us insights into the challenges and potential solutions to the energy/carbon/climate problem we all face. On any typical day, we engage in a wide range of activities that are supported by CO‚ÇÇ emissions, either directly or indirectly. When we drive our cars to work, CO‚ÇÇ comes out of the tailpipe‚Äîa waste product resulting from the reaction of gasoline with atmospheric oxygen inside of an internal ‚Ä¶",,mitigation:trade
"Carlino, Angelo; Wongel, Alicia; Duan, Lei; Virg√ºez, Edgar; Davis, Steven J.; Edwards, Morgan R.; Caldeira, Ken",Variability of technology learning rates,Advances in Applied Energy,2025,12,20,100252,10.1016/j.adapen.2025.100252,https://doi.org/10.1016/j.adapen.2025.100252,FALSE,,energy,steve-davis,,,,,,,"Learning rates for clean energy technologies change over time, making constant-rate models less accurate for forecasting costs.","Climate and energy policy analysts and researchers often forecast the cost of low-carbon energy technologies using Wright’s model of technological innovation. The learning rate, i.e., the percentage cost reduction per doubling of cumulative production, is assumed constant in this model. Here, we analyze the relationship between cost and scale for 87 technologies in the Performance Curve Database spanning multiple sectors. We find that stepwise changes in learning rates provide a better fit for 58 of these technologies and produce forecasts with equal or significantly lower errors compared to constant learning rates for 36 and 30 technologies, respectively. While costs generally decrease with increasing production, past learning rates are not good predictors of future learning rates. We show that these results affect technological change projections in the short and long term, focusing on three key mitigation …",energy,
